2021-04-19 | 05:24:44.763 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | end..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T05:24:44.762
2021-04-19 | 05:24:44.777 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | start..ProcessOrderJob...2021-04-19T05:24:44.776
2021-04-19 | 05:24:44.845 | pool-10-thread-1     |  INFO | c.m.m.o.c.ProcessOrderJob | end..ProcessOrderJob...2021-04-19T05:24:44.845
2021-04-19 | 05:24:44.846 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | start..FetchOrderJob...2021-04-19T05:24:44.846
2021-04-19 | 05:24:46.950 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | end..FetchOrderJob...2021-04-19T05:24:46.950
2021-04-19 | 05:24:46.950 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | start export jobs.....
2021-04-19 | 05:24:46.956 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | end export jobs.....
2021-04-19 | 05:24:46.956 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | start..runArticleEndOfLifeJob...at..2021-04-19T05:24:46.956
2021-04-19 | 05:24:48.171 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | end..runArticleEndOfLifeJob...at..2021-04-19T05:24:48.171
2021-04-19 | 05:27:10.333 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for article...2021-04-19T05:27:10.332
2021-04-19 | 05:47:38.531 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Job started to update Stock, Delivery Time and Preorder Information for all article and article Sets at --2021-04-19T05:47:38.531
2021-04-19 | 05:47:45.254 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Job ended to update Stock, Delivery Time and Preorder Information for all article and article Sets at---2021-04-19T05:47:45.254
2021-04-19 | 05:47:45.254 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Pushing Delivery time to Magento
2021-04-19 | 05:47:45.254 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | start..runMagentoDeliveryTimeUpdateForArticle...2021-04-19T05:47:45.254
2021-04-19 | 06:17:11.487 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | end..runMagentoDeliveryTimeUpdateForArticle...2021-04-19T06:17:11.486
2021-04-19 | 06:17:11.493 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | start..runMagentoDeliveryTimeUpdateForArticleSet...2021-04-19T06:17:11.493
2021-04-19 | 06:25:18.888 | pool-10-thread-1     |  INFO | entoDeliveryTimeUpdateJob | end..runMagentoDeliveryTimeUpdateForArticleSet...2021-04-19T06:25:18.888
2021-04-19 | 06:25:18.891 | pool-10-thread-1     |  INFO | yTimeAndPreOrderUpdateJob | Delivery time has been pushed to Magento at--2021-04-19T06:25:18.891
2021-04-19 | 06:25:18.891 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for article...2021-04-19T06:25:18.891
2021-04-19 | 06:46:36.071 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | start..FetchOrderJob...2021-04-19T06:46:36.071
2021-04-19 | 06:46:37.936 | pool-10-thread-1     |  INFO | c.m.m.o.c.FetchOrderJob   | end..FetchOrderJob...2021-04-19T06:46:37.936
2021-04-19 | 06:46:37.936 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | start export jobs.....
2021-04-19 | 06:46:37.940 | pool-10-thread-1     |  INFO | .m.a.c.CronDataExportJobs | end export jobs.....
2021-04-19 | 06:46:37.940 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | start..runArticleEndOfLifeJob...at..2021-04-19T06:46:37.940
2021-04-19 | 06:46:39.169 | pool-10-thread-1     |  INFO | m.a.c.ArticleEndOfLifeJob | end..runArticleEndOfLifeJob...at..2021-04-19T06:46:39.169
2021-04-19 | 06:46:39.169 | pool-10-thread-1     |  INFO | CategoryPositionUpdateJob | start..MagentoSellingPriceAndCategoryPositionUpdateJob...for articleSet...2021-04-19T06:46:39.169
