EAN	Offer_id	Titel	"Günstigster Gesamtpreis neu"	"Günstigster Gesamtpreis gebraucht"	"Ihr Gesamtpreis"	"Differenz zu neu absolut"	"Differenz zu neu %"	"Differenz zu gebraucht absolut"	"Differenz zu gebraucht %"	"Zustand des Angebots"
4250314529919	3K-16-HW-80	"Garderobe FUNNY 5-TLG Hochschrank Paneel Spiegel Schuhkommode Bank in Weiß und Abs. Silbereiche"	832,00	0,00	928,90	96,90	10,43	928,90	100,00	new
5901730809794	83-890-S8	"Couchtisch COLE Wohnzimmertisch Beistelltisch Tisch Massivholz Akazie Baumstamm 100 cm"	193,00	0,00	288,90	95,90	33,19	288,90	100,00	new
4250314546657	10-H9-WH-83	"Mediana Wohnwand inkl. LED-Beleuchtung Weiß/Abs. Artisan Eiche"	894,95	0,00	988,80	93,85	9,49	988,80	100,00	new
4250826324705	64-409-53-R	"JAKARTA Wohnlandschaft m. Schlaffunktion Couch Sofa Schlafsofa Dunkelbraun/Camel, Ausführung:Rechts"	1594,00	0,00	1603,90	9,90	0,62	1603,90	100,00	new
4250826329601	64-409-65-L	"JAKARTA Wohnlandschaft m. Schlaffunktion Couch Sofa Schlafsofa Schwarz/Grau, Ausführung:Links"	1594,00	0,00	1603,90	9,90	0,62	1603,90	100,00	new
4250826329618	64-409-65-R	"JAKARTA Wohnlandschaft m. Schlaffunktion Couch Sofa Schlafsofa Schwarz/Grau, Ausführung:Rechts"	1594,00	0,00	1603,90	9,90	0,62	1603,90	100,00	new
4250826375660	64-637-184	"Ecksofa Anton Couch Schlafcouch Bettsofa Schlafsofa Sofabett Funktionssofa ausziehbar dunkelblau 289 cm"	934,00	0,00	1021,90	87,90	8,60	1021,90	100,00	new
4250314545308	30-A1-GH-80	"Memphis Garderobenkombination Artisan Eiche"	864,00	0,00	948,90	84,90	8,95	948,90	100,00	new
4250314511853	30-15-HH-01	"3015HH01 Go Garderobenschrank Hochschrank mit Spiegel, 4 Einlegeböden Eiche Sägerau Nachbildung"	249,95	0,00	330,90	80,95	24,46	330,90	100,00	new
4250314530731	10-D0-DD-81	"Wohnwand Wohnzimmer-Set BONANZA 4 tlg. Hochschrank Kommode TV lowboard TV Tisch Wandregal vintage shabby"	796,00	0,00	875,90	79,90	9,12	875,90	100,00	new
5901738013568	58-229-H2	"58-229-H2 CAPRI Wildeiche Nb. / Weiß Schwebetürenschrank Schiebetürenschrank Kleiderschrank Stauraumschrank 270 cm"	626,00	0,00	704,90	78,90	11,19	704,90	100,00	new
5901738021990	38-560-R8	"38-560-R8 ORLANDO Artisan Eiche Nb. Kommode Beistellkommode Wäschekommode Highboard 150 cm"	259,95	0,00	336,90	76,95	22,84	336,90	100,00	new
4250314530724	10-D0-DD-80	"Wohnwand Wohnzimmer-Set BONANZA 4 tlg. Vitrine Kommode TV lowboard TV Tisch Wandregal vintage shabby inkl. Beleuchtung"	857,00	0,00	931,90	74,90	8,04	931,90	100,00	new
4250314530557	30-68-HW-80	"Garderobe ROCKY 5-TLG Garderobenschrank Paneel Spiegel Schuhkommode Bank Silbereiche Nachbildung"	677,00	0,00	749,90	72,90	9,72	749,90	100,00	new
5706887977491	8044849	"Höhenverstellbares Fußgestell Füße Tischbeine elektrisch für höhenverstellbaren Schreibtisch weiß"	318,00	0,00	389,90	71,90	18,44	389,90	100,00	new
4250314529414	1K-99-WH-20	"Kommode SPIRIT Sideboard Kombikommode Esszimmer Wohnzimmer Schlafzimmer Flur weiß Sandeiche"	319,95	0,00	390,90	70,95	18,15	390,90	100,00	new
5901738019928	58-402-O4	"58-402-04 VICTORIA 2 Driftwood / weiß Schiebetürenschrank Schwebetürenschrank Kleiderschrank ca. 170 cm"	249,95	0,00	319,90	69,95	21,87	319,90	100,00	new
4250314545315	30-A1-GH-81	"Memphis Garderobenkombination Artisan Eiche"	956,00	0,00	1025,90	69,90	6,81	1025,90	100,00	new
5901738020702	58-540-N9	"58-540-N9 BRÜSSEL Havel Eiche Nb. / Betonoxid Nb. Kleiderschrank Schiebetürenschrank Schwebetürenschrank ca. 270 cm"	468,00	0,00	535,90	67,90	12,67	535,90	100,00	new
4250314541751	30-96-WD-82	"MATEO 5-tlg. Garderobenkombination Weiß / Driftwood"	769,00	0,00	834,90	65,90	7,89	834,90	100,00	new
5901730807608	83-745-07	"Couchtisch Calgary Beistelltisch Wohnzimmertisch Tisch Eiche massiv geölt"	308,00	0,00	373,90	65,90	17,63	373,90	100,00	new
5901738002432	38-251-68	"Kleiderschrank CORNER NESSI Eckschrank Eckkleiderschrank Schrank begehbar Kleiderschrank Sonoma Eiche Weiß"	512,00	0,00	576,90	64,90	11,25	576,90	100,00	new
5901738016682	58-402-66	"58-031-66 PULS Eiche Sägerau Nb. / Spiegel Kleiderschrank Spiegelschrank Schwebetürenschrank Schiebetürenschrank ca. 170 cm"	269,95	0,00	333,80	63,85	19,13	333,80	100,00	new
5901738007192	58-005-00	"58-008-01 Silent System 200 Schließdämpfung Softclose, Selbsteinzug, Silentclose Türdämpfer Türstopper für Penta, Bravo, Capri Schränke"	49,95	0,00	110,90	60,95	54,96	110,90	100,00	new
5901738018341	50-014-17	"Bett SATURN Einzelbett Bettgestell mit Komforthöhe weiß 90 x 200 cm"	154,95	0,00	161,80	6,85	4,23	161,80	100,00	new
4250314543939	30-B1-UH-82	"JASMIN Garderobenkombination Pinie hell / Eiche"	987,00	0,00	1046,90	59,90	5,72	1046,90	100,00	new
5901730802931	83-441-68	"83-441-68 Finley Plus Couchtisch Beistelltisch Tisch Eiche Sonoma / Weiss ca. 100 cm"	64,25	0,00	120,90	56,65	46,86	120,90	100,00	new
4250314546619	20-H9-WH-02	"Mediana Couchtisch Artisan Eiche"	153,00	0,00	208,90	55,90	26,76	208,90	100,00	new
4250314543915	30-B1-UH-80	"JASMIN Garderobenkombination Pinie hell / Eiche"	987,00	0,00	1041,90	54,90	5,27	1041,90	100,00	new
5901730803839	83-502-17	"83-502-17 HARRISON Weiß Couchtisch Beistelltisch Wohnzimmertisch mit Schubkasten ca. 100 x 60 cm"	79,95	0,00	133,90	53,95	40,29	133,90	100,00	new
4250314530885	30-64-DD-01	"Garderobe BONANZA Garderobenschrank Dielenschrank Hochschrank Driftwood Nachbildung"	269,00	0,00	321,90	52,90	16,43	321,90	100,00	new
4250314541768	30-96-WD-83	"MATEO 5-tlg. Garderobenkombination Weiß / Driftwood"	820,00	0,00	870,90	50,90	5,84	870,90	100,00	new
4250314516360	10-61-HW-20	"JAM Sideboard Kommode Schrank Anrichte Lowboard Regal"	468,00	0,00	473,90	5,90	1,24	473,90	100,00	new
5901730807394	83-750-07	"Couchtisch Laval Beistelltisch Wohnzimmertisch Tisch Eiche massiv oval 120cm"	259,00	0,00	308,90	49,90	16,15	308,90	100,00	new
5901730805932	83-661-17	"Couchtisch Fabian Beistelltisch Tisch Wohnzimmertisch weiß"	142,90	0,00	191,90	49,00	25,53	191,90	100,00	new
